LAT,LON,ELEV,IRRAD,TMIN,TMAX,VAP,RAIN,E0,ES0,ET0,WIND,DAY
52.57,5.63,-4.0,760000.0,7.0,8.6,9.52,0.010000000000000002,0.03514747280630627,0.03353926959519108,0.061129627587508485,4.7,1975-01-01
52.57,5.63,-4.0,1460000.0,-0.5,7.2,5.590000000000001,0.0,0.05347080726290635,0.05078654300936206,0.09030295251176704,2.9,1975-01-02
52.57,5.63,-4.0,670000.0,-0.4,5.4,5.75,0.0,0.055877127311354656,0.054681288832287143,0.08885994846852911,4.2,1975-01-03
52.57,5.63,-4.0,2650000.0,3.8,7.2,7.06,0.0,0.0333940075816752,0.0281637815448694,0.08281463184799406,4.8,1975-01-04
52.57,5.63,-4.0,650000.0,5.1,9.0,7.91,0.09000000000000001,0.1119867693816962,0.11064129994949334,0.13071807507227373,7.2,1975-01-05
52.57,5.63,-4.0,1300000.0,7.4,9.9,8.24,0.020000000000000004,0.19559742234396363,0.192779214621353,0.17766378212956702,9.2,1975-01-06
52.57,5.63,-4.0,2780000.0,3.8,7.6,6.66,0.87,0.0633596871797741,0.05783816394293606,0.1132636128426345,5.4,1975-01-07
52.57,5.63,-4.0,4110000.0,-1.1,6.2,4.51,0.13,0.02843603703174096,0.02108737940264923,0.11420814654409006,4.4,1975-01-08
52.57,5.63,-4.0,1170000.0,1.0,8.2,5.6499999999999995,0.0,0.1337925353696868,0.13154932558257088,0.15676971234514686,5.4,1975-01-09
52.57,5.63,-4.0,1590000.0,5.4,8.9,7.359999999999999,0.0,0.11192851888407214,0.10862748759887302,0.13601209642791953,5.4,1975-01-10
52.57,5.63,-4.0,900000.0,5.4,8.7,7.890000000000001,0.0,0.10456395440015527,0.10270099672479745,0.12317265561814057,6.3,1975-01-11
52.57,5.63,-4.0,3170000.0,5.6,9.7,7.640000000000001,0.0,0.09014414294020286,0.08346538169780612,0.13854134450725705,6.6,1975-01-12
52.57,5.63,-4.0,3680000.0,3.7,8.1,6.8500000000000005,0.03,0.039857200256436714,0.03250223848588309,0.10295782448665955,5.1,1975-01-13
52.57,5.63,-4.0,3690000.0,7.0,11.6,6.41,0.0,0.20146506977937553,0.19332087865219585,0.26098595539233665,7.3,1975-01-14
52.57,5.63,-4.0,2050000.0,9.4,13.2,7.9,0.09000000000000001,0.26915765008760684,0.2643901569125885,0.28491288689850547,7.8,1975-01-15
52.57,5.63,-4.0,1070000.0,7.8,12.1,8.78,0.0,0.18359383374629157,0.18119061197976902,0.19470793335090492,7.5,1975-01-16
52.57,5.63,-4.0,740000.0,3.8,8.1,6.9799999999999995,0.19,0.14567139466758447,0.14419010269725432,0.15064087696002176,8.2,1975-01-17
52.57,5.63,-4.0,2990000.0,3.3,7.0,7.119999999999999,0.43,0.04524565652288184,0.03940985215514084,0.08217214137511887,5.3,1975-01-18
52.57,5.63,-4.0,4450000.0,1.1,7.0,6.02,0.13,0.0042969698068449835,0.0,0.07252823309877209,3.4,1975-01-19
52.57,5.63,-4.0,3930000.0,1.1,5.0,5.42,0.0,0.09083814105187302,0.08368714141351516,0.12202650367493906,7.4,1975-01-20
52.57,5.63,-4.0,1370000.0,2.3,5.8,6.34,0.13999999999999999,0.12900648955671792,0.12642722249587576,0.11821336639761619,8.1,1975-01-21
52.57,5.63,-4.0,790000.0,1.9,8.7,6.3,0.08000000000000002,0.19189355067699146,0.19034423102684728,0.1830920261545917,9.5,1975-01-22
52.57,5.63,-4.0,2720000.0,2.1,7.2,5.83,1.04,0.14669007726362215,0.1414665511591617,0.1579791584461076,7.4,1975-01-23
52.57,5.63,-4.0,3730000.0,2.8,7.1,6.13,0.13999999999999999,0.0983484812143919,0.09111511357723066,0.13397261144955785,6.3,1975-01-24
52.57,5.63,-4.0,790000.0,3.2,10.5,6.3,0.0,0.22256888011811485,0.22094337556965424,0.23155633058009073,8.2,1975-01-25
52.57,5.63,-4.0,5860000.0,1.8,6.5,5.49,0.27999999999999997,0.056641139867776934,0.04557175673224904,0.12480135189604069,5.5,1975-01-26
52.57,5.63,-4.0,1220000.0,2.7,8.9,6.97,0.25,0.1288386823559548,0.1264079574638116,0.1422801476800601,6.9,1975-01-27
52.57,5.63,-4.0,2330000.0,2.4,6.0,6.61,0.78,0.07960064625728017,0.0751920054408062,0.09276623491841582,5.6,1975-01-28
52.57,5.63,-4.0,1620000.0,0.0,5.3,4.89,0.54,0.13242382397626853,0.1295170319775379,0.14176604791499278,5.4,1975-01-29
52.57,5.63,-4.0,2020000.0,1.4,10.9,6.42,0.06,0.11223236029628711,0.10816368855744589,0.1515291381375802,4.0,1975-01-30
52.57,5.63,-4.0,2540000.0,6.8,11.7,8.89,0.09000000000000001,0.10290396611017456,0.09730557550799368,0.13208131829402175,4.7,1975-01-31
52.57,5.63,-4.0,5900000.0,4.3,9.4,7.2299999999999995,0.66,0.04070870854404124,0.028568864447943272,0.10517951575612969,4.0,1975-02-01
52.57,5.63,-4.0,5740000.0,6.0,9.1,8.98,0.0,0.0,0.0,0.043801107195828484,2.5,1975-02-02
52.57,5.63,-4.0,2650000.0,3.7,5.9,6.45,0.0,0.09733177513938514,0.09221772255521354,0.11175794265261856,5.0,1975-02-03
52.57,5.63,-4.0,6080000.0,-1.1,3.8,4.2299999999999995,0.0,0.0822367711715587,0.07182708027636894,0.12693099212521125,5.2,1975-02-04
52.57,5.63,-4.0,5190000.0,-1.9,1.8,4.779999999999999,0.0,0.04011578369475987,0.031688415307238885,0.06933587137156964,4.7,1975-02-05
52.57,5.63,-4.0,6890000.0,-2.2,4.9,4.36,0.0,0.04468113717136934,0.032884628903629635,0.10424736553834987,3.7,1975-02-06
52.57,5.63,-4.0,2070000.0,-2.0,1.1,5.0600000000000005,0.0,0.04695413472930373,0.04364501714040692,0.052829271608248976,3.7,1975-02-07
52.57,5.63,-4.0,6990000.0,-2.0,3.6,4.53,0.0,0.040388680677670055,0.028663850271251297,0.08887296712002604,3.8,1975-02-08
52.57,5.63,-4.0,8100000.0,-0.9,7.1,4.35,0.0,0.03284962459558818,0.0180853408496725,0.10709069912313222,2.5,1975-02-09
52.57,5.63,-4.0,5770000.0,-2.0,6.5,4.59,0.0,0.04174758054936041,0.0315402973847567,0.09009140109955002,2.1,1975-02-10
52.57,5.63,-4.0,2310000.0,0.1,7.1,5.91,0.0,0.06352072868385553,0.059237266055231906,0.08369254657655727,2.1,1975-02-11
52.57,5.63,-4.0,1700000.0,2.9,8.1,7.1499999999999995,0.03,0.06370631593069159,0.06035107658632562,0.09059960239880266,2.9,1975-02-12
52.57,5.63,-4.0,1190000.0,4.1,7.1,7.62,0.27,0.06438614363105996,0.06203004242072123,0.08909653349828692,4.9,1975-02-13
52.57,5.63,-4.0,4030000.0,-0.2,4.9,4.88,1.16,0.09011422644510725,0.08295956723657008,0.11404584816141838,3.6,1975-02-14
52.57,5.63,-4.0,7920000.0,-2.4,2.5,4.04,0.0,0.0661151352266801,0.053204996120318794,0.10402165334912797,4.0,1975-02-15
52.57,5.63,-4.0,9520000.0,-4.0,2.9,3.04,0.0,0.08457509731312986,0.0694161689500271,0.13771529786198186,4.0,1975-02-16
52.57,5.63,-4.0,2120000.0,-0.8,5.2,4.55,0.0,0.15157624063634484,0.14783260713559296,0.1562022224433533,5.6,1975-02-17
52.57,5.63,-4.0,4770000.0,2.0,7.6,6.14,0.16000000000000003,0.06203421176553616,0.0528289171140273,0.08944024770378267,1.9,1975-02-18
52.57,5.63,-4.0,6820000.0,0.7,7.8,5.460000000000001,0.1,0.08135475084086023,0.06842902895584278,0.12300183059719268,3.0,1975-02-19
52.57,5.63,-4.0,9040000.0,-0.3,6.3,5.08,0.0,0.051924695677156595,0.035504130845708436,0.0973804511000424,2.3,1975-02-20
52.57,5.63,-4.0,9650000.0,-0.7,8.2,4.18,0.0,0.13143784091852684,0.11345243695831526,0.19076434101949322,4.3,1975-02-21
52.57,5.63,-4.0,8940000.0,1.3,7.7,4.76,0.0,0.11157327882296726,0.09448903193620807,0.16208254977392106,3.5,1975-02-22
52.57,5.63,-4.0,9720000.0,-1.3,10.7,4.44,0.0,0.08190054562080926,0.06320360183019524,0.15130907261528723,2.2,1975-02-23
52.57,5.63,-4.0,5860000.0,-0.3,8.3,5.44,0.0,0.08211738008355532,0.0711033491506868,0.11485339951268951,2.3,1975-02-24
52.57,5.63,-4.0,2030000.0,0.7,4.8,5.779999999999999,0.0,0.10092143219798144,0.0972661396120681,0.10668362358657373,5.6,1975-02-25
52.57,5.63,-4.0,11340000.0,-1.0,9.3,3.69,0.0,0.16719565791612126,0.14577470147296656,0.2328078304123513,4.4,1975-02-26
52.57,5.63,-4.0,11300000.0,-2.6,11.2,3.18,0.0,0.12382268372502067,0.10237061608142406,0.1827706106442923,2.1,1975-02-27
52.57,5.63,-4.0,6570000.0,-3.2,5.9,4.48,0.0,0.08902578371404304,0.0777771539144712,0.1164654008161429,2.8,1975-02-28
52.57,5.63,-4.0,8870000.0,-2.4,10.8,4.1,0.0,0.15571149703013926,0.1389283879991848,0.20008335374619043,3.1,1975-03-01
52.57,5.63,-4.0,6660000.0,0.7,14.2,5.2,0.0,0.21360392229943112,0.1996539807009332,0.24959597678933246,3.6,1975-03-02
52.57,5.63,-4.0,4820000.0,6.0,12.9,7.67,0.45999999999999996,0.18153870057696145,0.1708570652660107,0.20527030656969564,4.4,1975-03-03
52.57,5.63,-4.0,3900000.0,5.4,10.6,8.16,0.0,0.09060064341093906,0.08230031400965118,0.10405804512627885,1.9,1975-03-04
52.57,5.63,-4.0,7090000.0,3.1,11.7,6.720000000000001,0.0,0.121799244218419,0.1069704233306367,0.15390629350136142,2.5,1975-03-05
52.57,5.63,-4.0,2950000.0,4.7,8.1,7.69,0.0,0.08670011997093896,0.08071242805847385,0.0972950306526,2.8,1975-03-06
52.57,5.63,-4.0,4520000.0,5.7,10.9,8.149999999999999,0.15000000000000002,0.14734779636028594,0.13764522354879963,0.153119566353908,4.5,1975-03-07
52.57,5.63,-4.0,6610000.0,3.2,9.6,6.38,0.9800000000000001,0.1534806787236972,0.14006418938763132,0.1691980404563147,3.9,1975-03-08
52.57,5.63,-4.0,4760000.0,3.3,10.8,6.8100000000000005,0.0,0.12722509995327774,0.11737212380360747,0.14706523671520083,2.7,1975-03-09
52.57,5.63,-4.0,7200000.0,2.4,9.8,6.46,0.06,0.12432479800959335,0.10984499506688442,0.14379799539116292,2.7,1975-03-10
52.57,5.63,-4.0,1460000.0,5.8,6.3,8.67,0.16000000000000003,0.030223788777848627,0.027292149172007514,0.05650112030385146,3.4,1975-03-11
52.57,5.63,-4.0,1820000.0,4.1,5.8,7.37,0.010000000000000002,0.0900226834578711,0.08649326546869324,0.09329183457172789,6.9,1975-03-12
52.57,5.63,-4.0,2310000.0,2.9,4.7,6.470000000000001,0.0,0.10324827477891214,0.09893567900946118,0.10320415741728692,6.0,1975-03-13
52.57,5.63,-4.0,1900000.0,3.8,5.2,7.22,0.03,0.0566361246251044,0.053005244414271915,0.0768734111935627,3.7,1975-03-14
52.57,5.63,-4.0,2890000.0,2.6,6.1,6.78,0.67,0.07952911414402335,0.07403361068909829,0.09066861589150457,3.1,1975-03-15
52.57,5.63,-4.0,11000000.0,0.5,6.4,4.31,0.22999999999999998,0.20974002196457925,0.18944668534537856,0.20829416233378933,4.8,1975-03-16
52.57,5.63,-4.0,9730000.0,0.0,5.3,5.13,0.25,0.15604536005390415,0.13858666490103427,0.1476499457326898,4.5,1975-03-17
52.57,5.63,-4.0,9270000.0,-1.1,3.7,4.0,0.05,0.23184797752412328,0.21600591919749407,0.18879206955207567,7.1,1975-03-18
52.57,5.63,-4.0,3310000.0,0.1,6.2,5.11,0.0,0.23166869178345323,0.22562493287218963,0.18474415070825775,8.9,1975-03-19
52.57,5.63,-4.0,2670000.0,1.7,6.4,5.8,0.010000000000000002,0.19043740891361388,0.18541066216000174,0.16445682461895103,8.2,1975-03-20
52.57,5.63,-4.0,16990000.0,-0.4,8.0,4.09,0.15000000000000002,0.26366054771272246,0.23194149917463958,0.2525279461833473,5.0,1975-03-21
52.57,5.63,-4.0,6010000.0,-0.8,7.1,4.72,0.0,0.1532504861930449,0.1422767728828655,0.16081524943021136,3.3,1975-03-22
52.57,5.63,-4.0,14980000.0,-2.1,9.1,3.7199999999999998,0.0,0.17679203426795545,0.14910893536477796,0.20405997934422365,2.2,1975-03-23
52.57,5.63,-4.0,12870000.0,-1.7,6.7,4.26,0.12,0.24539273377344104,0.2224219259740397,0.21814019711347205,6.0,1975-03-24
52.57,5.63,-4.0,11510000.0,0.3,6.4,4.99,0.06,0.22965275120413256,0.20849118849297166,0.19557416789746346,6.0,1975-03-25
52.57,5.63,-4.0,9840000.0,1.5,5.4,5.24,1.2300000000000002,0.1879018194676035,0.1697485074373367,0.16705809341548838,4.6,1975-03-26
52.57,5.63,-4.0,7520000.0,0.7,6.0,5.460000000000001,0.020000000000000004,0.1369610653147642,0.12313526587185109,0.13362808573121035,2.8,1975-03-27
52.57,5.63,-4.0,9250000.0,0.3,5.3,4.74,0.5,0.1920941885749478,0.17540906863754108,0.17377313312536877,4.5,1975-03-28
52.57,5.63,-4.0,7390000.0,0.1,5.8,5.29,0.010000000000000002,0.17232623028441435,0.15892612630770014,0.1526114607558875,4.8,1975-03-29
52.57,5.63,-4.0,12560000.0,0.0,6.6,4.76,0.8,0.1755395435063996,0.15248716171863042,0.1727874451559978,2.6,1975-03-30
52.57,5.63,-4.0,17380000.0,-1.2,7.1,4.14,0.0,0.21136001411406918,0.1798452905531365,0.20901753219078864,2.8,1975-03-31
52.57,5.63,-4.0,9400000.0,1.3,6.5,4.699999999999999,0.0,0.21050393729010808,0.1928956017274705,0.197810180706745,4.0,1975-04-01
52.57,5.63,-4.0,9980000.0,1.0,6.8,5.0600000000000005,0.25,0.22104264557107128,0.20234783823967514,0.19631380707255425,4.8,1975-04-02
52.57,5.63,-4.0,12740000.0,-0.7,7.6,4.640000000000001,0.09000000000000001,0.18635985577489939,0.16285648227229785,0.18479823658963113,2.5,1975-04-03
52.57,5.63,-4.0,3560000.0,1.3,3.5,6.109999999999999,0.12,0.09941388154401555,0.09308238204070528,0.08801228303404916,5.4,1975-04-04
52.57,5.63,-4.0,9410000.0,0.3,7.1,5.3100000000000005,0.66,0.19950567068220287,0.18199723885384028,0.17861033669156332,4.4,1975-04-05
52.57,5.63,-4.0,14140000.0,-0.4,8.8,4.51,0.0,0.22079450262383102,0.1940399184414527,0.2187858016538958,2.8,1975-04-06
52.57,5.63,-4.0,10240000.0,0.2,7.6,5.2700000000000005,0.020000000000000004,0.2595428060124699,0.2403609596123199,0.20953361964252526,6.6,1975-04-07
52.57,5.63,-4.0,13810000.0,2.4,7.5,5.81,0.71,0.2955184878276992,0.26873757440432217,0.22042508133465932,7.0,1975-04-08
52.57,5.63,-4.0,17850000.0,-0.1,7.5,4.67,0.17,0.29437185468286753,0.26115979218166957,0.24496257337774607,5.1,1975-04-09
52.57,5.63,-4.0,15860000.0,-0.8,6.5,4.49,0.010000000000000002,0.2389378305148695,0.21027950023892278,0.21051482692244433,3.7,1975-04-10
52.57,5.63,-4.0,3140000.0,0.4,6.0,5.85,0.04000000000000001,0.1052820670460601,0.09953879780109408,0.11753591326478582,4.0,1975-04-11
52.57,5.63,-4.0,3760000.0,4.0,9.0,7.32,0.0,0.14822911501132247,0.14057401858214064,0.14876271789031587,4.9,1975-04-12
52.57,5.63,-4.0,8370000.0,3.2,9.4,5.84,0.020000000000000004,0.2071472908778286,0.19021045333927888,0.19964086927223745,3.1,1975-04-13
